이슈키,이슈유형,부모이슈,상태,고객사,제목,이슈본문,댓글작성자,댓글내용,생성일,완료일,담당자
AS-112,하위 작업,AS-7,해야 할 일,미분류,iOS 개발자 계정 갱신 결재,"카테고리: 기타 업무 설명: iOS 개발자 계정 갱신을 위한 갱신 절차 실행빈도: 연 1회 소요시간: 2h 사용 프로그램: apple 개발자 계정, 그룹웨어 데이터 소스: 계정갱신 요청사항 결과물 형태: 갱신결과 문서 자동화 여부: X 작성자: 이우석프로세스: iOS 개발자 계정 만료 일정 확인(연 1회) → 갱신 신청서 작성 → 결재 담당자에게 결재 요청 → 결재 승인 후 Apple 개발자 포털에서 갱신 진행 → 갱신 완료 확인 → 내부 기록",N/A,댓글 없음,2026-03-16T20:12:06.689+0900,,이우석
AS-113,하위 작업,AS-7,해야 할 일,미분류,알리미 앱 관리,카테고리: 기타 업무 설명: 푸시 테스트용 알리미 앱 동작을 위한 관리 실행빈도: 월 1회 소요시간: 8h 사용 프로그램: android studio / xcode 데이터 소스: 알리미 앱 소스코드 결과물 형태: aar 파일 / APK 파일 자동화 여부: X 작성자: 이우석프로세스: 알리미 앱 상태 정기 확인 → FCM 토큰 유효성 및 앱 실행 상태 점검 → 이상 발생 시 원인 파악(앱 업데이트 필요·FCM 설정 오류 등) → 수정 및 재배포 → 정상 동작 확인,N/A,댓글 없음,2026-03-16T20:12:08.072+0900,,이우석
AS-114,하위 작업,AS-7,해야 할 일,미분류,코드 리뷰 및 PR 관리,"카테고리: 기타 업무 설명: 팀원 개발 코드 리뷰, 사내 표준 준수 확인, 피드백 반영 및 보완 처리 실행빈도: 수시 소요시간: 1시간 사용 프로그램: Git, 코드 리뷰 툴 (GitHub/GitLab) 데이터 소스: Pull Request, 코딩 콘벤션 결과물 형태: 리뷰 코멘트 자동화 여부: 진행중 작성자: 윤주명, 장재인프로세스: 팀원 PR 생성 확인 → 변경된 코드 전체 검토 → 사내 표준 준수·로직 오류·성능 이슈 등 피드백 작성 → PR에 코멘트 등록 → 팀원이 수정 반영 후 재검토 → 최종 승인 및 Merge",N/A,댓글 없음,2026-03-16T20:12:09.559+0900,,"윤주명, 장재인"
AS-115,하위 작업,AS-7,해야 할 일,미분류,기술 자료 정리,카테고리: 기타 업무 설명: 발송 시스템 관련 기술 자료 정리 실행빈도: 가끈 소요시간: 2시간 사용 프로그램: 문서도구 데이터 소스: 기술 자료 결과물 형태: 자료 정리 자동화 여부: X 작성자: 류한경프로세스: 발송 시스템 관련 기술 문서·설정 문서·장애 사례 수집 → 최신화 필요 항목 파악 → 내용 업데이트 및 분류 → NAS 또는 Confluence에 정리·저장 → 팀 공유,N/A,댓글 없음,2026-03-16T20:12:10.918+0900,,류한경
AS-116,하위 작업,AS-7,해야 할 일,미분류,일일 업무 보고 작성,"카테고리: 기타 업무 설명: 당일 업무 내용, 배치·TMS·MQ 점검 결과, 이슈 사항 등을 정리하여 일일 보고서 작성 및 보고 실행빈도: 주 5회 소요시간: 20분 사용 프로그램: Excel 데이터 소스: 점검 결과 결과물 형태: 일일 보고 자동화 여부: 진행중 작성자: 김지원, 류한경, 이윤형, 장재인프로세스: 당일 수행 업무 내역 정리 → 배치·TMS·MQ 점검 결과 취합 → 이슈 발생 및 처리 현황 정리 → 보고서 양식에 기입 → 팀장·관련 부서에 보고 → 보고서 파일 저장 및 공유",N/A,댓글 없음,2026-03-16T20:12:12.507+0900,,"김지원, 류한경, 이윤형, 장재인"
AS-117,하위 작업,AS-7,해야 할 일,미분류,주간 업무 보고 작성,"카테고리: 기타 업무 설명: 주간 업무 완료 현황, 이슈 처리 건수, 배치 이상 건수, 발송 현황, 진행률 등 주간 운영 실적 취합·정리하여 보고 실행빈도: 주 1회 소요시간: 40분 사용 프로그램: Excel 데이터 소스: 운영 데이터 결과물 형태: 주간 보고 자동화 여부: 진행중 작성자: 김지원, 이경환, 이윤형프로세스: 주간 업무 완료 항목 목록화 → 이슈 처리 건수·배치 이상 건수·발송 현황 집계 → WBS 대비 진행률 산출 → 주간 보고서 양식에 기입 → 검토 후 팀장 보고 → 보고서 저장 및 공유",N/A,댓글 없음,2026-03-16T20:12:14.138+0900,,"김지원, 이경환, 이윤형"
AS-118,하위 작업,AS-7,해야 할 일,미분류,월간 보고,"카테고리: 기타 업무 설명: 월별 이슈 유형·처리 현황, 발송 성공률, 시스템 가용률 등 집계하여 월간 보고; 월별 업무 완료 현황, 이슈 처리 건수, 일정 준수율 등을 집계하여 보고 실행빈도: 월 1회 소요시간: 3시간 사용 프로그램: MS Excel, Jira 데이터 소스: 주간 운영 보고서, Jira 통계 결과물 형태: 월간 보고서  자동화 여부: X 작성자: 김지원프로세스: 월별 발송 성공률·이슈 처리 현황·시스템 가용률 집계 → 전월 대비 비교 분석 → 월간 보고서 양식에 기입 → 내용 검토 및 수정 → 상위 보고 → 보고서 저장 및 공유",N/A,댓글 없음,2026-03-16T20:12:15.495+0900,,김지원
AS-119,하위 작업,AS-7,해야 할 일,미분류,서버·시스템 모니터링,"카테고리: 기타 업무 설명: 운영 서버의 CPU, 메모리, 디스크, 서비스 프로세스 상태 등을 주기적으로 점검하고 이상 감지 실행빈도: 수시 소요시간: 1시간 사용 프로그램: SSH, 모니터링툴 데이터 소스: 서버 상태 정보 결과물 형태: 점검 결과 자동화 여부: X 작성자: 류한경, 윤주명프로세스: 서버 모니터링 도구 또는 서버 접속 → CPU·메모리·디스크 사용률 조회 → 주요 프로세스(배치·TMS·MQ 등) 실행 상태 확인 → 임계치 초과 또는 프로세스 미실행 감지 시 알림 → 이상 기록 및 담당자 보고",N/A,댓글 없음,2026-03-16T20:12:16.937+0900,,"류한경, 윤주명"
AS-120,하위 작업,AS-7,해야 할 일,미분류,Queue 상태 확인,"카테고리: 기타 업무 설명: 메시지 큐 적재 상태 및 처리 상태 확인 실행빈도: 수시 소요시간: 1시간 사용 프로그램: 관리 콘솔, SSH 데이터 소스: Queue 데이터 결과물 형태: Queue 상태 확인 자동화 여부: X 작성자: 류한경프로세스: MQ 관리 콘솔 또는 API 접속 → 큐별 적재 메시지 수·처리 완료 수·처리 대기 수 조회 → 적체 여부 판단 → 이상 시 Consumer 상태 연계 확인 → 결과 기록 및 담당자 알림",N/A,댓글 없음,2026-03-16T20:12:18.519+0900,,류한경
AS-121,하위 작업,AS-7,해야 할 일,미분류,배치 실행 시간 이상 여부 점검,카테고리: 운영 업무 설명: 평균 실행 시간 대비 지연 여부 확인 실행빈도: 주 2회 소요시간: 10분 사용 프로그램: 배치 스케줄러 데이터 소스: 실행 이력 결과물 형태: 점검 기록 자동화 여부: X 작성자: 김지원프로세스: 배치 스케줄러 실행 이력 조회 → 각 Job 평균 실행 시간 기준값 확인 → 당일 실행 시간과 비교 → 임계치(예: 평균 +50%) 초과 Job 식별 → 이상 항목 기록 및 알림,N/A,댓글 없음,2026-03-16T20:12:20.044+0900,,김지원
AS-122,하위 작업,AS-7,해야 할 일,미분류,배치 실패 원인 로그 분석,카테고리: 운영 업무 설명: 실패 Job의 오류 로그 분석 실행빈도: 주 2회 소요시간: 30분 사용 프로그램: 서버 SSH 데이터 소스: 오류 로그 결과물 형태: 분석 결과 기록 자동화 여부: X 작성자: 김지원프로세스: 실패 Job 번호 확인 → 서버 SSH 접속 또는 로그 수집 시스템에서 해당 Job 오류 로그 추출 → 오류 메시지·스택트레이스 분석 → 원인 분류(DB 오류/네트워크/코드 오류 등) → 원인 기록 및 조치 방안 도출,N/A,댓글 없음,2026-03-16T20:12:21.426+0900,,김지원
AS-123,하위 작업,AS-7,해야 할 일,미분류,발송 지연 여부 확인,카테고리: 운영 업무 설명: 메시지 처리 지연 여부 확인 실행빈도: 주 5회 소요시간: 10분 사용 프로그램: TMS 콘솔 데이터 소스: 발송 로그 결과물 형태: 점검 기록 자동화 여부: X 작성자: 김지원프로세스: 발송 큐 또는 처리 로그에서 메시지 투입 시각·처리 완료 시각 조회 → 처리 지연 시간 산출 → 기준 초과 메시지 식별 → 지연 원인(큐 적체/서버 부하 등) 1차 판단 → 이상 기록,N/A,댓글 없음,2026-03-16T20:12:22.990+0900,,김지원
AS-124,하위 작업,AS-7,해야 할 일,미분류,발송 통계 데이터 검증,카테고리: 운영 업무 설명: 통계 데이터 정확성 검증 실행빈도: 주 2회 소요시간: 30분 사용 프로그램: Excel 데이터 소스: 발송 이력 결과물 형태: 검증 결과 자동화 여부: X 작성자: 김지원프로세스: 추출된 통계 데이터 확인 → 채널별 합계와 전체 합계 교차 검증 → 전일 대비 급감·급증 여부 확인 → 이상 수치 발견 시 원본 데이터 재확인 → 검증 결과 기록,N/A,댓글 없음,2026-03-16T20:12:24.303+0900,,김지원
AS-125,하위 작업,AS-7,해야 할 일,미분류,MQ Broker 상태 확인,카테고리: 운영 업무 설명: MQ 서버 정상 동작 여부 확인 실행빈도: 주 5회 소요시간: 10분 사용 프로그램: MQ 콘솔 데이터 소스: MQ 상태 결과물 형태: 점검 기록 자동화 여부: X 작성자: 김지원프로세스: MQ 관리 콘솔 또는 API 접속 → Broker 연결 상태·프로세스 동작 여부 확인 → 연결 수·메모리 사용량 등 지표 확인 → 비정상 감지 시 이상 내역 기록 → 담당자 알림 및 재기동 여부 판단,N/A,댓글 없음,2026-03-16T20:12:25.697+0900,,김지원
AS-126,하위 작업,AS-7,해야 할 일,미분류,DB 락 발생 여부 확인,카테고리: 운영 업무 설명: DB Lock 상태 확인 실행빈도: 주 5회 소요시간: 10분 사용 프로그램: SQL Tool 데이터 소스: DB 상태 결과물 형태: 점검 기록 자동화 여부: X 작성자: 김지원프로세스: DB Lock 감지 쿼리(V$LOCK/DBA_BLOCKERS) 실행 → Lock 보유 세션·대기 세션 목록 확인 → Lock 발생 원인 SQL 및 트랜잭션 파악 → 장시간 Lock 지속 시 세션 종료 여부 검토 → 담당자 보고,N/A,댓글 없음,2026-03-16T20:12:27.189+0900,,김지원
AS-127,하위 작업,AS-7,해야 할 일,미분류,운영 이슈 접수,카테고리: 운영 업무 설명: 고객 또는 내부 이슈 접수 실행빈도: 주 5회 소요시간: 10분 사용 프로그램: Jira 데이터 소스: 이슈 내용 결과물 형태: 이슈 기록 자동화 여부: X 작성자: 김지원프로세스: 이메일·메신저·유선 등 채널에서 이슈 접수 확인 → 이슈 내용·발생 시각·고객사 정보 파악 → 긴급도·영향도 1차 판단 → Jira 티켓 생성 → 담당자 배정 → 접수 확인 회신,N/A,댓글 없음,2026-03-16T20:12:28.604+0900,,김지원
AS-128,하위 작업,AS-7,해야 할 일,미분류,운영 환경 설정 변경 관리,"카테고리: 운영 업무 설명: 운영 서버·미들웨어·DB 설정 변경 시 변경 내역 문서화 및 승인 처리 실행빈도: 월 1회 소요시간: 1시간 사용 프로그램: 서버 SSH, MS Word 데이터 소스: 변경 요청서, 현행 설정 문서 결과물 형태: 설정 변경 이력서 자동화 여부: X 작성자: 김지원프로세스: 설정 변경 요청 접수 → 변경 항목·변경 전/후 값 확인 → 변경 내역 문서 작성 → 승인권자 검토 요청 → 승인 완료 후 변경 실행 → 변경 결과 확인 및 문서 최종 저장",N/A,댓글 없음,2026-03-16T20:12:29.939+0900,,김지원
AS-129,하위 작업,AS-7,해야 할 일,미분류,긴급 패치 적용 및 결과 확인,"카테고리: 운영 업무 설명: 긴급 버그 수정 패치를 운영 환경에 적용하고 정상 동작 여부 확인 실행빈도: 주 1회 소요시간: 2시간 사용 프로그램: Git, 배포 스크립트, 서버 SSH 데이터 소스: 패치 소스, 배포 계획서 결과물 형태: 패치 적용 결과 보고 자동화 여부: X 작성자: 김지원프로세스: 긴급 버그 확인 및 패치 대상 범위 파악 → 배포 전 체크리스트 점검 → 운영 서버 접속 → 패치 파일 적용(파일 교체·재기동) → 서비스 정상 동작 여부 확인 → 결과 기록 및 고객사·내부 공유",N/A,댓글 없음,2026-03-16T20:12:31.478+0900,,김지원
AS-130,하위 작업,AS-9,해야 할 일,미분류,IMC 정산 - 매출 청구 및 정산 관리,"매월 초(3일) IMC/허브사 운영 사이트별 전월 발송량 추출 및 서비스 집행내역서 작성. 위하고(WEHAGO) 대량 발행 파일을 활용한 세금계산서 발행 및 마감 안분표 작성을 위한 품목별(카카오, 문자, CBDM 등) 원단위 정밀 정산.",N/A,댓글 없음,2026-03-16T20:30:56.271+0900,,윤종웅
AS-131,하위 작업,AS-9,해야 할 일,미분류,IMC 정산 - 특수 마감 및 발행 관리,"고객사별 상이한 정산 주기(현대면세점 21~20일, 피자헛 16~15일 등)별 발행. 부서별/Agent별 분할 발행 및 고객사 요청에 따른 원단위 절사 등 맞춤형 발행 대응.＊내역서 미전달 즉발행 고객사 : 57개＊내역서 필수 전달 후 발행 고객사 : 64개 (사유 : 타스온,온톡,아이하트/인포뱅크, 080수신거부 통신 내역 합발행, 부서별, Agent별 정산, 고객사 요청사항(사용인감 날인 후 PDF 파일로 전달, 원단위 절사, 고객사 요청 공급가액 단위로 발행 등)",N/A,댓글 없음,2026-03-16T20:30:57.859+0900,,윤종웅
AS-132,하위 작업,AS-9,해야 할 일,미분류,IMC 정산 - 매입·매출 대조 및 분석,"카카오/허브사(다우, 인포뱅크 등) 매입 계산서와 IMC 어드민/금융권(신영, 국민) 별도 어드민 발송량 대조 검증. 매월 마지막 주 화요일 기준 발송량 기반 예상 매입/매출 손익 집계 및 보고.인포빕,인포뱅크(국제문자) 어드민을 통해 직접 다운로드한 후 고객사별 국제문자 매입/매출 GP 대조",N/A,댓글 없음,2026-03-16T20:30:59.497+0900,,윤종웅
AS-133,하위 작업,AS-9,해야 할 일,미분류,IMC 정산 - 미수채권 및 CS 관리,"미수채권 잔액 확인 및 입금 안내(1차 메일, 2차 유선). 삼성물산 매장, 올케팅 CS(충전/환불 등) 및 유관 부서 문의 응대.",N/A,댓글 없음,2026-03-16T20:31:01.356+0900,,윤종웅
AS-134,하위 작업,AS-9,해야 할 일,미분류,IMC 정산 - 매입 정산 및 지출결의,"카카오, 문자 허브사, KT 매입 세금계산서,TEST폰, 080 수신거부(우리모바일, LG), 확인 및 증빙 취합 후 지출결의서 작성/결재 진행.지출결의 작성 시 전월대비 발송량 증감 내역 보고부서별 안분표 작성하여 지출결의와 함께 경영지원팀에 제출 (IMC,타스온,MA 발송량 분리하여 부서별 매입/매출 분리)",N/A,댓글 없음,2026-03-16T20:31:02.923+0900,,윤종웅
AS-135,하위 작업,AS-9,해야 할 일,미분류,IMC 계약 - 계약 운영 관리,IMC 신규/갱신 계약 서류 검토 및 응대. IMC admin/통합 정산 어드민 내 고객 등록 및 단가 변경 등 정보 관리.,N/A,댓글 없음,2026-03-16T20:31:04.759+0900,,윤종웅
AS-136,하위 작업,AS-9,해야 할 일,미분류,유지보수 - 매출 정산 및 견적 및 지출결의,"연단위 계약 기반 월별 세금계산서 발행(정발행, 역발행) 및 매출 확정. 갱신 계약 전 갱신 유지보수 견적서 송부(추가개발, 품목 제외 등 확인).경영지원팀 앞 마감 안분표(익월 10일 이내) 및 지출결의서 제출.",N/A,댓글 없음,2026-03-16T20:31:06.371+0900,,윤종웅
AS-137,하위 작업,AS-9,해야 할 일,미분류,유지보수 - 검수 및 증빙 관리,"고객사별(LGCNS, 삼성SDS, 코오롱베니트 등) 전용 시스템 활용 검수 진행 및 담당자 날인 관리. 거래명세서/내역서 송부(한샘, 이커머스 등) 및 유지보수 고객 리스트 최신화.",N/A,댓글 없음,2026-03-16T20:31:07.903+0900,,윤종웅
AS-138,하위 작업,AS-9,해야 할 일,미분류,유지보수 - 계약 지원,"유지보수 신규/갱신 계약 관련 견적작업 및 요청 서류 대응, 계약 진행 업무.",N/A,댓글 없음,2026-03-16T20:31:09.484+0900,,윤종웅
AS-139,하위 작업,AS-9,해야 할 일,미분류,유지보수 - 계약 지원,"유지보수 신규/갱신 계약 관련 견적작업 및 요청 서류 대응, 계약 진행 업무.",N/A,댓글 없음,2026-03-16T20:31:11.004+0900,,윤종웅
AS-140,하위 작업,AS-9,해야 할 일,미분류,"IMC, 유지보수, 운영 - 내외부 커뮤니케이션",계약/정산 관련 고객사 응대 및 필요 서류 제출.,N/A,댓글 없음,2026-03-16T20:31:12.687+0900,,윤종웅
AS-141,하위 작업,AS-9,해야 할 일,미분류,운영 - 매출 정산,연단위 계약 기반 월별 세금계산서 발행 및 매출 확정.,N/A,댓글 없음,2026-03-16T20:31:14.138+0900,,윤종웅
AS-142,하위 작업,AS-9,해야 할 일,미분류,잠재 고객 서칭,"인바운드, 아웃바운드 등의 잠재 고객을 서칭하고 컨택하는 업무",N/A,댓글 없음,2026-03-16T20:33:33.361+0900,,윤종웅
AS-143,하위 작업,AS-9,해야 할 일,미분류,잠재 고객 및 고객사 분석,문의 및 잠재고객에 해당하여 고객 및 고객사를 상세 분석하는 컨택 전단계 사전 파악 업무,N/A,댓글 없음,2026-03-16T20:33:35.108+0900,,윤종웅
AS-144,하위 작업,AS-9,해야 할 일,미분류,기존 고객 히스토리 데이터 서칭 및 분석,기존 고객일 경우 고객의 히스토리를 JIRA 등의 다양한 경로를 통해서 고객파악 업무 진행,N/A,댓글 없음,2026-03-16T20:33:36.652+0900,,윤종웅
AS-145,하위 작업,AS-9,해야 할 일,미분류,고객 관심도 예측 - 리드 성사 확률 예측,"다양한 정보(ex : 콜드콜, 메일, 기존이력)을 통해 해당 거래의 성사확률을 파악하고 해당 Deal에 리소스 추가 투여",N/A,댓글 없음,2026-03-16T20:33:38.189+0900,,윤종웅
AS-146,하위 작업,AS-9,해야 할 일,미분류,"고객 콜드콜 / 인,아웃바운드콜",고객 콜드콜을 통해 기본적인 요구사항 파악 및 미팅 일정 수립,N/A,댓글 없음,2026-03-16T20:33:39.692+0900,,윤종웅
AS-147,하위 작업,AS-9,해야 할 일,미분류,고객사 미팅 일정 조율 및 확정,고객 미팅 일정을 조율하고 스케줄링 하는 업무,N/A,댓글 없음,2026-03-16T20:33:41.111+0900,,윤종웅
AS-148,하위 작업,AS-9,해야 할 일,미분류,문의 고객 이메일 발송,기본적인 고객 문의를 바탕으로 분류하여 고객에게 메일링 하는 업무,N/A,댓글 없음,2026-03-16T20:33:42.451+0900,,윤종웅
AS-149,하위 작업,AS-9,해야 할 일,미분류,고객 문의 내용 내부 Tool 기입 (Jira),고객 미팅이나 전화를 통해 확보된 고객 문의사항을 내부 JIRA (Tool) 에 기재하고 공유,N/A,댓글 없음,2026-03-16T20:33:43.710+0900,,윤종웅
AS-150,하위 작업,AS-9,해야 할 일,미분류,고객사 미팅 및 회의록 작성,고객사와의 미팅을 통해 확보된 미팅 내용 및 요구사항을 빠르게 분석하여 회의록 및 내부 보고 자료 작성,N/A,댓글 없음,2026-03-16T20:33:45.134+0900,,윤종웅
AS-151,하위 작업,AS-9,해야 할 일,미분류,고객 요구사항 상세파악 및 분석,고객 요구사항 (기술 및 사업적) 상세사항을 파악하여 사업성 및 가능성 검토 후 상세 분석 진행,N/A,댓글 없음,2026-03-16T20:33:46.593+0900,,윤종웅
AS-152,하위 작업,AS-9,해야 할 일,미분류,내부 견적 확인 요청,고객 요구사항을 바탕으로 내부 공수 및 견적 검토 요청,N/A,댓글 없음,2026-03-16T20:33:48.344+0900,,윤종웅
AS-153,하위 작업,AS-9,해야 할 일,미분류,고객사 RFP 분석,입찰 진행 시 고객사 RFP 대상으로 세부 분석 및 검토 진행,N/A,댓글 없음,2026-03-16T20:33:49.849+0900,,윤종웅
AS-154,하위 작업,AS-9,해야 할 일,미분류,고객 요청사항별 맞춤 제안서 작성,RFP 및 고객사 요청사항에 따른 맞춤형 제안서 작성,N/A,댓글 없음,2026-03-16T20:33:51.330+0900,,윤종웅
AS-155,하위 작업,AS-9,해야 할 일,미분류,견적 협상,고객사와의 지속적인 업무 및 견적 협의를 통해 최종 합의 된 최종 견적을 합의해나가는 업무,N/A,댓글 없음,2026-03-16T20:33:53.080+0900,,윤종웅
AS-156,하위 작업,AS-9,해야 할 일,미분류,입찰 참여 경쟁사 파악,입찰의 경우 참여한 경쟁사 및 입찰사에 대한 상세 정보를 파악함,N/A,댓글 없음,2026-03-16T20:33:54.713+0900,,윤종웅
AS-157,하위 작업,AS-9,해야 할 일,미분류,계약서 작성,"계약 진행 확정 시 초안부터 최종안까지의 다양한 계약서에 대한 내용 협의 진행, 고객사 양식 or 자사 양식 등 다양한 협의가 진행 되는 업무 단계",N/A,댓글 없음,2026-03-16T20:33:56.177+0900,,윤종웅
AS-158,하위 작업,AS-9,해야 할 일,미분류,계약서 검토 및 리스크 분석,계약서에 대한 내용 및 법률 검토 진행을 통한 내부 리스크 분석,N/A,댓글 없음,2026-03-16T20:33:57.638+0900,,윤종웅
AS-159,하위 작업,AS-9,해야 할 일,미분류,내부 계산서 발행 / 유지보수 및 정산 파트 소통,계약 체결 및 후속 비용 처리에 따르는 내부 및 고객사 커뮤니케이션 및 행정 업무,N/A,댓글 없음,2026-03-16T20:33:59.337+0900,,윤종웅
AS-160,하위 작업,AS-9,해야 할 일,미분류,"시장 조사,경쟁사 및 트랜드 분석",고객사 및 경쟁사 현황 분석 / 기타 트렌드 분석,N/A,댓글 없음,2026-03-16T20:34:00.948+0900,,윤종웅
AS-161,하위 작업,AS-9,해야 할 일,미분류,경쟁사 견적 분석,경쟁사가 현재 제공하고 있는 시장가 파악을 통해 자사 견적 관련 논의,N/A,댓글 없음,2026-03-16T20:34:02.531+0900,,윤종웅
AS-162,하위 작업,AS-9,해야 할 일,미분류,고객사 간단 문의 대응,고객사 기술 및 사업담당자가 문의하는 간단 문의 해결,N/A,댓글 없음,2026-03-16T20:34:04.055+0900,,윤종웅
AS-163,하위 작업,AS-9,해야 할 일,미분류,기술 및 상세 문의 관련 내부 소통,기술 및 기타 문의 시 고객사 소통 진행,N/A,댓글 없음,2026-03-16T20:34:05.863+0900,,윤종웅
AS-164,하위 작업,AS-9,해야 할 일,미분류,메시징 가격 제안 수익 시뮬레이션,고객사 단가 제안시 자사 수익률을 원가와 비교하여 시뮬레이션,N/A,댓글 없음,2026-03-16T20:34:07.600+0900,,윤종웅
AS-165,하위 작업,AS-9,해야 할 일,미분류,국제문자 관련 밴더사 소통,"국제문자 벤더사와의 업무 협의, 기술문의, 단가 협상 등의 다양한 소통 업무",N/A,댓글 없음,2026-03-16T20:34:09.027+0900,,윤종웅
AS-166,하위 작업,AS-9,해야 할 일,미분류,고객이탈 예측 및  방지,이탈 위험 고객사 별도 관리 진행,N/A,댓글 없음,2026-03-16T20:34:10.697+0900,,윤종웅
AS-167,하위 작업,AS-12,해야 할 일,미분류,TasOn VOC 응대 및 처리 - 고객 문의 응대 (1:1 문의게시판),"업무 설명 : 고객 문의 응대 (1:1 문의게시판)— 실행빈도 : 매일소요시간 : 건당 10~15분 -> 건당 3~5분사용 프로그램 : Gemini, 챗gpt데이터소스 :  문의 내용(텍스트), 답변 가이드라인—결과물 형태 : 기존 프로세스는 유지하되, 문의 답변 1차 초안을 AI가 자동 생성하여 제시",N/A,댓글 없음,2026-03-16T20:43:23.604+0900,,윤종웅
AS-168,하위 작업,AS-12,해야 할 일,미분류,TasOn VOC 응대 및 처리 - 고객 문의 응대 (이메일),"업무 설명 : 고객 문의 응대 (이메일)— 실행빈도 : 매일소요시간 : 건당 15~20분 -> 건당 5분사용 프로그램 : Gemini, 챗gpt데이터소스 :  문의 내용(텍스트), 답변 가이드라인—결과물 형태 : 기존 프로세스는 유지하되, 문의 답변 1차 초안을 AI가 자동 생성하여 제시",N/A,댓글 없음,2026-03-16T20:43:25.239+0900,,윤종웅
AS-169,하위 작업,AS-12,해야 할 일,미분류,TasOn VOC 응대 및 처리 - 고객 문의 응대 (전화),"업무 설명 : 고객 문의 응대 (전화)— 실행빈도 : 매일소요시간 : 사용 프로그램 : 수기진행데이터소스 :  —결과물 형태 : 전화 응대는 VIP 고객 중심으로 효율화하고, 일반 문의는 다른 채널로 운영",N/A,댓글 없음,2026-03-16T20:43:26.929+0900,,윤종웅
AS-170,하위 작업,AS-12,해야 할 일,미분류,VOC 수집 및 분석 - VOC 수집 및 분석,"업무 설명 : VOC 수집 및 분석— 실행빈도 : 매주/매월소요시간 : 주당 4~5시간 -> 주당 1시간사용 프로그램 : Dify, ChatGPT데이터소스 :  VOC 내역 데이터—결과물 형태 : 월별 VOC 데이터를 자동 집계·분류하고, 개선 포인트 초안은 AI가 도출 후 담당자가 최종 검토",N/A,댓글 없음,2026-03-16T20:43:28.541+0900,,윤종웅
AS-171,하위 작업,AS-12,해야 할 일,미분류,챗봇 개선 - 챗봇 응답률 개선,"업무 설명 : 챗봇 응답률 개선— 실행빈도 : 수시소요시간 : 1회당 3~4시간 -> 1회당 1시간사용 프로그램 : Gemini데이터소스 :  챗봇 미응답 이력 로그—결과물 형태 : 챗봇 응답 이슈를 AI가 분석해 개선 시나리오 초안을 도출하고, 검토 후 개선된 스크립트를 어드민에 반영",N/A,댓글 없음,2026-03-16T20:43:29.979+0900,,윤종웅
AS-172,하위 작업,AS-12,해야 할 일,미분류,응대 메뉴얼 개선 - 이용 고객 가이드 제작,"업무 설명 : 이용 고객 가이드 제작— 실행빈도 : 수시소요시간 : 1회당 5~8시간 -> 1회당 2시간사용 프로그램 : Tango, Scribe데이터소스 :  실제 고객 여정 화면(클릭 과정)—결과물 형태 : 고객 문의 및 이용 패턴을 AI가 분석해 가이드 초안을 작성하고, 검토 후 이용 고객 가이드로 제작",N/A,댓글 없음,2026-03-16T20:43:31.406+0900,,윤종웅
AS-173,하위 작업,AS-12,해야 할 일,미분류,세금계산서 발행 - TasOn 기존 고객 정산,"업무 설명 : TasOn 기존 고객 정산— 실행빈도 : 매일소요시간 : 일 1시간 -> 일 10분사용 프로그램 : Zapier, Make데이터소스 :  PG사 결제 데이터, 어드민 정산 내역—결과물 형태 : 기존 고객 대상 결제 내역을 기준으로 일 2회 자동 발행하고, 예외 건만 확인 후 처리",N/A,댓글 없음,2026-03-16T20:43:32.885+0900,,윤종웅
AS-174,하위 작업,AS-12,해야 할 일,미분류,세금계산서 발행 - TasOn/MA/푸시피아 후불 정산,"업무 설명 : TasOn/MA/푸시피아 후불 정산— 실행빈도 : 매월 1회소요시간 : 월 4~5시간 -> 월 1시간사용 프로그램 : Zapier, Make데이터소스 :  PG사 결제 데이터, 어드민 정산 내역—결과물 형태 : 정산 데이터 취합과 내역서 작성은 자동화하고, 메일발송 및 세금계산서 발행은 기존대로 수기 처리",N/A,댓글 없음,2026-03-16T20:43:35.751+0900,,윤종웅
AS-175,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - TasOn 제휴사 정산(카페24),"업무 설명 : TasOn 제휴사 정산(카페24)— 실행빈도 : 매월 1회소요시간 : 월 1~2시간 -> 월 30분사용 프로그램 : Power Automate Desktop데이터소스 :  어드민 로그인 정보, 제휴사별 CSV—결과물 형태 : 전월 사용분에 대한 정산데이터를 어드민에서 자동 추출·정리하고, 업로드 자료·기안 상신 자료·지출결의서를 자동 생성한 뒤 최종 업로드 및 승인 처리만 수기 진행",N/A,댓글 없음,2026-03-16T20:43:37.359+0900,,윤종웅
AS-176,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - TasOn 제휴사 정산(아임웹),"업무 설명 : TasOn 제휴사 정산(아임웹)— 실행빈도 : 매월 1회소요시간 : 월 1~2시간 -> 월 30분사용 프로그램 : Power Automate Desktop데이터소스 :  어드민 로그인 정보, 제휴사별 CSV—결과물 형태 : 전월 사용분에 대한 정산데이터를 어드민에서 자동 추출·정리하고, 업로드 자료·기안 상신 자료·지출결의서를 자동 생성한 뒤 최종 업로드 및 승인 처리만 수기 진행",N/A,댓글 없음,2026-03-16T20:43:38.722+0900,,윤종웅
